PASSENGERS,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10185,AEX,13095,LTO,614,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10540,BED,15084,SXM,614,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10575,BGI,14843,SJU,617,7
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10747,BRO,13095,LTO,614,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11032,CUN,13303,MIA,614,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11032,CUN,14843,SJU,617,5
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11057,CLT,16271,YYZ,617,6
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11066,CMH,16271,YYZ,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11185,CUR,10693,BNA,617,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11185,CUR,13303,MIA,617,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11185,CUR,14492,RDU,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,CVG,16232,YWG,614,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,DAL,14312,PVR,617,6
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,DAL,16232,YWG,614,10
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,DAL,16232,YWG,617,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11618,EWR,16271,YYZ,617,6
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11764,FRG,11185,CUR,617,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11995,GSO,16271,YYZ,617,7
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12191,HOU,11185,CUR,614,2
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,14312,PVR,617,6
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,16271,YYZ,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13095,LTO,10747,BRO,614,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13095,LTO,11540,ELP,614,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,13605,NAS,617,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,13605,NAS,619,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,13618,NBW,617,7
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,14849,SKB,617,5
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,MIA,16217,YUL,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13605,NAS,13303,MIA,617,4
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13605,NAS,13303,MIA,619,3
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13618,NBW,13303,MIA,614,7
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13618,NBW,13303,MIA,614,9
